date,flag,detail
2026-08-07,D1,D1: DRAM 20d -12.4% vs physical m30 +64.4% — layers disagree
2026-08-08,D1,D1: DRAM 20d -13.2% vs physical m30 +63.8% — layers disagree
2026-08-10,D1,D1: DRAM 20d -6.8% vs physical m30 +63.9% — layers disagree
2026-08-11,D1,D1: DRAM 20d -6.8% vs physical m30 +70.4% — layers disagree
