date,segment,series,usd_per_gb,n_obs,in_stock_rate
2026-07-19,sodimm,floor,9.9688,4,
2026-07-20,ddr4_desktop,basket,7.5839,4,0.667
2026-07-20,ddr4_desktop,floor,4.1062,4,
2026-07-20,ddr5_desktop,basket,15.6997,3,0.3
2026-07-20,ddr5_desktop,floor,15.625,3,
2026-07-20,server_ecc,basket,27.1873,4,0.667
2026-07-20,server_ecc,floor,25.8634,4,
2026-07-20,sodimm,basket,13.2802,4,0.8
2026-07-20,sodimm,floor,9.9688,4,
2026-07-21,ddr4_desktop,basket,7.7394,4,0.667
2026-07-21,ddr4_desktop,floor,4.1062,4,
2026-07-21,ddr5_desktop,basket,15.6623,2,0.2
2026-07-21,ddr5_desktop,floor,15.625,2,
2026-07-21,server_ecc,basket,26.0566,4,0.667
2026-07-21,server_ecc,floor,25.8634,4,
2026-07-21,sodimm,basket,13.2802,4,0.8
2026-07-21,sodimm,floor,10.9375,4,
2026-07-22,ddr4_desktop,basket,7.6325,4,0.667
2026-07-22,ddr4_desktop,floor,4.1062,4,
2026-07-22,ddr5_desktop,basket,15.6623,2,0.2
2026-07-22,ddr5_desktop,floor,15.625,2,
2026-07-22,server_ecc,basket,27.6738,3,0.5
2026-07-22,server_ecc,floor,27.6738,3,
2026-07-22,sodimm,basket,13.2802,4,0.8
2026-07-22,sodimm,floor,10.9375,4,
2026-07-23,ddr4_desktop,basket,7.5623,4,0.667
2026-07-23,ddr4_desktop,floor,4.1062,4,
2026-07-23,ddr5_desktop,basket,15.6623,2,0.2
2026-07-23,ddr5_desktop,floor,15.625,2,
2026-07-23,server_ecc,basket,27.6738,3,0.5
2026-07-23,server_ecc,floor,27.6738,3,
2026-07-23,sodimm,basket,13.2802,4,0.8
2026-07-23,sodimm,floor,10.9375,4,
2026-07-24,ddr4_desktop,basket,7.3436,4,0.667
2026-07-24,ddr4_desktop,floor,4.1062,4,
2026-07-24,ddr5_desktop,basket,14.6908,2,0.2
2026-07-24,ddr5_desktop,floor,13.7566,2,
2026-07-24,server_ecc,basket,27.6738,3,0.5
2026-07-24,server_ecc,floor,27.6738,3,
2026-07-24,sodimm,basket,13.0777,4,0.8
2026-07-24,sodimm,floor,10.9375,4,
2026-07-25,ddr4_desktop,basket,7.3436,4,0.667
2026-07-25,ddr4_desktop,floor,4.1062,4,
2026-07-25,ddr5_desktop,basket,14.622,2,0.2
2026-07-25,ddr5_desktop,floor,13.6191,2,
2026-07-25,server_ecc,basket,28.4322,2,0.333
2026-07-25,server_ecc,floor,27.6738,2,
2026-07-25,sodimm,basket,13.0433,4,0.8
2026-07-25,sodimm,floor,10.9375,4,
2026-07-26,ddr4_desktop,basket,7.4991,4,0.667
2026-07-26,ddr4_desktop,floor,4.1062,4,
2026-07-26,ddr5_desktop,basket,15.6633,2,0.2
2026-07-26,ddr5_desktop,floor,15.625,2,
2026-07-26,server_ecc,basket,28.4322,2,0.333
2026-07-26,server_ecc,floor,27.6738,2,
2026-07-26,sodimm,basket,12.2934,4,0.8
2026-07-26,sodimm,floor,10.6247,4,
2026-07-27,ddr4_desktop,basket,7.1872,5,0.833
2026-07-27,ddr4_desktop,floor,4.1062,5,
